时间周期,品类,dim_city_name,父单量,销量,金额,用户数
cycle,cat,city,pordernum,ordernum,money,usernum
2016-05,碳酸饮料,北京市,36782,71065,2744645.229998317,32005
2016-05,碳酸饮料,成都市,2299,4966,199669.0099999918,2033
2016-05,碳酸饮料,杭州市,3896,8011,326558.49999998225,3210
2016-05,碳酸饮料,武汉市,2759,5502,191092.6099999905,2449
2016-05,碳酸饮料,深圳市,4508,7967,313725.0599999895,3957
2016-05,碳酸饮料,西安市,1301,5181,120179.91999999895,1104
2016-05,运动相机,北京市,2325,4380,3325812.1700000055,2002
2016-05,运动相机,成都市,406,669,471386.10000000027,352
2016-05,运动相机,杭州市,194,330,240987.6000000001,176
2016-05,运动相机,武汉市,322,484,278522.30000000005,295
2016-05,运动相机,深圳市,829,1672,863577.78,735
2016-05,运动相机,西安市,162,315,180770.79,142
2016-06,定位跟踪鞋,北京市,1,1,278.0,1
2016-06,碳酸饮料,北京市,52757,96757,3689042.7999980072,45557
2016-06,碳酸饮料,成都市,3327,5882,265565.6499999893,2959
2016-06,碳酸饮料,杭州市,4050,8410,324778.3399999943,3668
2016-06,碳酸饮料,武汉市,4241,6723,255293.79999998625,3769
2016-06,碳酸饮料,深圳市,5782,9353,371305.81999999104,5163
2016-06,碳酸饮料,西安市,1734,3245,123926.28999999931,1585
2016-06,运动相机,北京市,3939,8483,5779388.65000002,3221
2016-06,运动相机,成都市,676,1305,941840.2000000025,570
2016-06,运动相机,杭州市,382,643,430560.82000000024,318
2016-06,运动相机,武汉市,447,748,451440.8000000005,396
2016-06,运动相机,深圳市,1025,2808,1448256.8799999997,882
2016-06,运动相机,西安市,267,465,318980.35000000003,213
2016-07,碳酸饮料,北京市,40297,63401,2934678.769998283,34779
2016-07,碳酸饮料,成都市,2918,5140,234823.96999999005,2565
2016-07,碳酸饮料,杭州市,3140,6039,278180.19999999314,2682
2016-07,碳酸饮料,武汉市,3645,6352,256634.7699999874,3213
2016-07,碳酸饮料,深圳市,4800,7493,335812.02000000194,4122
2016-07,碳酸饮料,西安市,1316,2528,117687.06999999844,1183
2016-07,运动相机,北京市,3004,6984,4297025.020000024,2572
2016-07,运动相机,成都市,715,1457,785813.7999999989,620
2016-07,运动相机,杭州市,232,380,268961.0000000001,213
2016-07,运动相机,武汉市,207,454,276010.30000000034,171
2016-07,运动相机,深圳市,642,2292,793172.0999999995,519
2016-07,运动相机,西安市,307,1075,516353.3000000001,279
2016-08,定位跟踪鞋,北京市,1,1,749.0,1
2016-08,定位跟踪鞋,成都市,1,1,399.0,1
2016-08,定位跟踪鞋,武汉市,1,1,749.0,1
2016-08,碳酸饮料,北京市,38565,60017,2696861.509998604,33212
2016-08,碳酸饮料,成都市,2767,4985,214601.7799999916,2430
2016-08,碳酸饮料,杭州市,2404,4362,189667.92999999307,2083
2016-08,碳酸饮料,武汉市,3754,5914,249621.01999998532,3214
2016-08,碳酸饮料,深圳市,4845,8071,331174.90999999514,4199
2016-08,碳酸饮料,西安市,1680,2859,118441.8399999984,1467
2016-08,运动相机,北京市,2511,5793,4049879.5400000187,2106
2016-08,运动相机,成都市,367,656,513792.92000000033,316
2016-08,运动相机,杭州市,219,421,274155.9000000002,180
2016-08,运动相机,武汉市,174,330,242626.50000000006,154
2016-08,运动相机,深圳市,802,2398,1626526.2199999979,653
2016-08,运动相机,西安市,200,517,306098.60000000015,173
2016-09,定位跟踪鞋,北京市,1,1,399.0,1
2016-09,定位跟踪鞋,成都市,2,2,1398.0,1
2016-09,定位跟踪鞋,深圳市,4,4,1596.0,4
2016-09,定位跟踪鞋,西安市,1,1,359.0,1
2016-09,碳酸饮料,北京市,32360,53297,2305701.679999233,28229
2016-09,碳酸饮料,成都市,1683,3072,136148.26999999845,1475
2016-09,碳酸饮料,杭州市,1795,3126,129778.75999999809,1551
2016-09,碳酸饮料,武汉市,2981,5162,209814.38999999213,2509
2016-09,碳酸饮料,深圳市,4899,7859,315079.06999999646,3929
2016-09,碳酸饮料,西安市,1263,2153,79910.9199999998,1059
2016-09,运动相机,北京市,2273,5062,2774559.2999999993,1899
2016-09,运动相机,成都市,384,766,485574.4999999999,339
2016-09,运动相机,杭州市,141,440,225729.2,120
2016-09,运动相机,武汉市,194,313,198332.1,164
2016-09,运动相机,深圳市,518,1202,609647.7199999999,439
2016-09,运动相机,西安市,165,409,217192.69999999998,141
2016-10,定位跟踪鞋,深圳市,2,2,798.0,2
2016-10,碳酸饮料,北京市,19291,30652,1261450.5100000969,17159
2016-10,碳酸饮料,成都市,1081,1857,86707.22000000025,953
2016-10,碳酸饮料,杭州市,2090,4647,186306.62999999645,1931
2016-10,碳酸饮料,武汉市,1282,2298,96666.79000000005,1137
2016-10,碳酸饮料,深圳市,3684,5769,231550.97999998802,3087
2016-10,碳酸饮料,西安市,797,1560,50282.69000000056,668
2016-10,运动相机,北京市,1635,3147,2483140.26,1442
2016-10,运动相机,成都市,311,634,477228.22000000003,280
2016-10,运动相机,杭州市,96,166,195039.19999999998,93
2016-10,运动相机,武汉市,119,309,188794.8,110
2016-10,运动相机,深圳市,349,724,474895.3,305
2016-10,运动相机,西安市,187,340,170803.09999999998,174
2016-11,定位跟踪鞋,北京市,2,2,665.0,2
2016-11,定位跟踪鞋,成都市,2,2,1198.0,2
2016-11,定位跟踪鞋,深圳市,2,2,1378.0,1
2016-11,碳酸饮料,北京市,28003,45646,1676480.4799997476,24649
2016-11,碳酸饮料,成都市,1288,2010,84976.02999999993,1163
2016-11,碳酸饮料,杭州市,1767,3363,129178.96999999911,1579
2016-11,碳酸饮料,武汉市,1818,3295,122905.88999999875,1618
2016-11,碳酸饮料,深圳市,4417,7554,259976.4499999857,3773
2016-11,碳酸饮料,西安市,1071,2020,63806.83000000054,913
2016-11,运动相机,北京市,5396,8039,6718797.509999998,4280
2016-11,运动相机,成都市,1432,1858,1165479.7999999998,1317
2016-11,运动相机,杭州市,254,478,555362.6500000001,200
2016-11,运动相机,武汉市,245,393,377155.7,206
2016-11,运动相机,深圳市,964,2209,1302615.5599999994,706
2016-11,运动相机,西安市,253,402,310281.63,201
2016-12,定位跟踪鞋,北京市,2,2,1198.0,2
2016-12,定位跟踪鞋,深圳市,2,2,598.0,1
2016-12,碳酸饮料,北京市,26861,39644,1630227.7999998834,23615
2016-12,碳酸饮料,成都市,1256,2010,84683.58000000012,1125
2016-12,碳酸饮料,杭州市,2468,4583,193119.46999999558,2293
2016-12,碳酸饮料,武汉市,1556,2409,94624.46999999983,1385
2016-12,碳酸饮料,深圳市,3172,5096,191779.38999999437,2711
2016-12,碳酸饮料,西安市,752,1117,36588.560000000136,688
2016-12,运动相机,北京市,2891,6181,7068983.939999994,2421
2016-12,运动相机,成都市,433,758,805500.0299999999,370
2016-12,运动相机,杭州市,170,359,373269.73,152
2016-12,运动相机,武汉市,179,301,266934.1699999999,151
2016-12,运动相机,深圳市,739,1236,1208165.26,647
2016-12,运动相机,西安市,197,379,340261.74,163
2017-01,碳酸饮料,北京市,56900,107424,3618107.3499976937,50332
2017-01,碳酸饮料,成都市,3225,7495,164041.06999999483,2936
2017-01,碳酸饮料,杭州市,2970,5704,188632.1399999948,2582
2017-01,碳酸饮料,武汉市,4069,10896,224049.109999992,3644
2017-01,碳酸饮料,深圳市,4972,11289,283429.5399999879,4431
2017-01,碳酸饮料,西安市,1642,2306,91732.35999999927,1557
2017-01,运动相机,北京市,4125,9059,9818131.480000006,3322
2017-01,运动相机,成都市,666,1090,1011906.96,534
